iter	Passed	Remaining
0	63	57450
1	112	50689
2	201	60389
3	276	62034
4	335	60105
5	399	59511
6	475	60653
7	523	58320
8	575	56947
9	614	54721
10	663	53612
11	737	54567
12	784	53546
13	841	53233
14	907	53517
15	960	53068
16	1004	52183
17	1057	51824
18	1100	51038
19	1144	50340
20	1188	49735
21	1234	49287
22	1280	48817
23	1326	48412
24	1373	48067
25	1413	47503
26	1476	47754
27	1516	47223
28	1557	46791
29	1601	46455
30	1648	46212
31	1690	45867
32	1736	45616
33	1781	45388
34	1829	45212
35	1879	45112
36	1925	44912
37	1974	44784
38	2017	44530
39	2063	44375
40	2104	44096
41	2158	44086
42	2196	43784
43	2243	43652
44	2293	43577
45	2361	43848
46	2403	43617
47	2451	43507
48	2506	43528
49	2556	43468
50	2607	43414
51	2658	43348
52	2700	43158
53	2747	43042
54	2805	43108
55	2882	43437
56	2923	43236
57	2969	43108
58	3013	42950
59	3056	42792
60	3097	42597
61	3139	42438
62	3186	42340
63	3227	42154
64	3269	42006
65	3315	41891
66	3357	41747
67	3397	41575
68	3478	41892
69	3522	41766
70	3563	41606
71	3611	41530
72	3659	41460
73	3704	41345
74	3745	41195
75	3790	41095
76	3832	40959
77	3883	40921
78	3930	40848
79	3970	40701
80	4011	40561
81	4060	40502
82	4100	40358
83	4142	40244
84	4185	40132
85	4237	40107
86	4279	39990
87	4329	39948
88	4393	40033
89	4442	39982
90	4489	39914
91	4534	39826
92	4577	39721
93	4619	39610
94	4663	39520
95	4710	39451
96	4754	39357
97	4798	39266
98	4846	39209
99	4896	39174
100	4937	39059
101	4978	38950
102	5014	38798
103	5057	38712
104	5100	38614
105	5139	38499
106	5185	38428
107	5225	38322
108	5272	38261
109	5314	38169
110	5360	38101
111	5402	38011
112	5445	37928
113	5490	37856
114	5535	37786
115	5578	37704
116	5620	37616
117	5668	37565
118	5715	37509
119	5764	37469
120	5811	37416
121	5859	37368
122	5922	37412
123	5986	37463
124	6031	37393
125	6077	37333
126	6135	37344
127	6182	37289
128	6244	37319
129	6265	37108
130	6311	37049
131	6350	36949
132	6409	36963
133	6482	37057
134	6565	37206
135	6654	37381
136	6733	37499
137	6810	37603
138	6858	37547
139	6936	37653
140	6980	37575
141	7027	37515
142	7074	37449
143	7114	37351
144	7158	37273
145	7213	37254
146	7267	37228
147	7322	37207
148	7371	37153
149	7415	37078
150	7468	37047
151	7512	36970
152	7561	36918
153	7574	36692
154	7626	36657
155	7677	36617
156	7732	36594
157	7788	36577
158	7851	36590
159	7921	36637
160	7966	36567
161	8018	36530
162	8067	36477
163	8110	36398
164	8154	36324
165	8206	36285
166	8254	36230
167	8271	36038
168	8321	35994
169	8369	35941
170	8421	35901
171	8481	35898
172	8573	36026
173	8643	36065
174	8693	36014
175	8736	35939
176	8787	35894
177	8827	35807
178	8873	35742
179	8920	35683
180	8980	35675
181	9025	35605
182	9069	35536
183	9118	35483
184	9162	35413
185	9209	35350
186	9257	35297
187	9305	35241
188	9355	35195
189	9406	35152
190	9452	35086
191	9501	35036
192	9550	34984
193	9593	34912
194	9636	34839
195	9684	34784
196	9725	34704
197	9774	34655
198	9822	34602
199	9870	34546
200	9910	34465
201	9959	34415
202	10007	34361
203	10051	34292
204	10101	34245
205	10147	34187
206	10194	34130
207	10236	34057
208	10283	33998
209	10328	33937
210	10368	33856
211	10415	33802
212	10459	33735
213	10504	33672
214	10553	33625
215	10597	33557
216	10651	33525
217	10721	33542
218	10774	33505
219	10816	33433
220	10865	33382
221	10919	33350
222	10966	33291
223	11024	33269
224	11070	33210
225	11112	33141
226	11159	33085
227	11203	33019
228	11246	32952
229	11294	32900
230	11337	32833
231	11379	32763
232	11450	32779
233	11504	32742
234	11540	32656
235	11592	32616
236	11635	32548
237	11699	32541
238	11752	32503
239	11801	32453
240	11845	32391
241	11915	32398
242	11959	32334
243	12014	32300
244	12066	32260
245	12112	32201
246	12159	32146
247	12202	32080
248	12249	32026
249	12297	31973
250	12338	31902
251	12384	31846
252	12436	31803
253	12479	31739
254	12527	31687
255	12570	31623
256	12619	31574
257	12657	31497
258	12724	31492
259	12778	31454
260	12824	31397
261	12884	31374
262	12934	31327
263	12975	31259
264	13028	31220
265	13074	31162
266	13124	31116
267	13171	31060
268	13215	31000
269	13257	30933
270	13304	30880
271	13350	30823
272	13401	30779
273	13441	30709
274	13489	30657
275	13557	30652
276	13633	30662
277	13690	30631
278	13736	30575
279	13783	30521
280	13832	30471
281	13876	30409
282	13921	30352
283	13962	30284
284	14010	30233
285	14063	30192
286	14105	30128
287	14147	30062
288	14188	29996
289	14213	29896
290	14253	29830
291	14293	29762
292	14340	29708
293	14387	29655
294	14427	29587
295	14472	29531
296	14518	29476
297	14566	29426
298	14609	29365
299	14657	29314
300	14713	29280
301	14779	29265
302	14842	29244
303	14891	29194
304	14945	29155
305	14997	29112
306	15049	29069
307	15093	29011
308	15135	28947
309	15181	28893
310	15232	28848
311	15281	28799
312	15326	28743
313	15374	28693
314	15420	28637
315	15467	28584
316	15510	28525
317	15558	28474
318	15602	28417
319	15642	28352
320	15690	28301
321	15730	28237
322	15775	28181
323	15827	28137
324	15873	28083
325	15922	28035
326	15967	27979
327	16017	27932
328	16065	27882
329	16113	27831
330	16160	27780
331	16203	27721
332	16248	27667
333	16297	27618
334	16349	27573
335	16396	27523
336	16444	27472
337	16492	27422
338	16538	27368
339	16586	27318
340	16635	27271
341	16678	27212
342	16728	27165
343	16795	27146
344	16964	27290
345	17080	27348
346	17132	27302
347	17185	27259
348	17232	27206
349	17303	27190
350	17349	27135
351	17402	27092
352	17455	27048
353	17525	27030
354	17575	26981
355	17619	26924
